TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-73854	RNA Polymerase I Promoter Clearance	0.165483146787379	-1.79888592145069	78	1	0.05	20	8672	17191	Mbd2
R-MMU-73864	RNA Polymerase I Transcription	0.167425238601501	-1.78721836406235	79	1	0.05	20	8672	17191	Mbd2
R-MMU-166054	Activated TLR4 signalling	0.171296548739953	-1.7643590213159	81	1	0.05	20	8672	12475	Cd14
R-MMU-193704	p75 NTR receptor-mediated signalling	0.177071464890413	-1.731201871453	84	1	0.05	20	8672	223435	Trio
R-MMU-168256	Immune System	0.179853462770242	-1.71561285536868	1692	6	0.3	20	8672	114713,20741,17064,12475,15962,108083	Rasa2,Sptb,Cd93,Cd14,Ifna1,Pip4k2b
R-MMU-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	0.180900147281334	-1.70981007242238	86	1	0.05	20	8672	108083	Pip4k2b
R-MMU-163125	Post-translational modification: synthesis of GPI-anchored proteins	0.184711903408561	-1.68895794659553	88	1	0.05	20	8672	268890	Lsamp
R-MMU-199418	Negative regulation of the PI3K/AKT network	0.190397955873955	-1.65863889263862	91	1	0.05	20	8672	108083	Pip4k2b
R-MMU-427413	NoRC negatively regulates rRNA expression	0.192284920195095	-1.64877704758449	92	1	0.05	20	8672	17191	Mbd2
R-MMU-166016	Toll Like Receptor 4 (TLR4) Cascade	0.196046321845368	-1.6294043117288	94	1	0.05	20	8672	12475	Cd14
R-MMU-211897	Cytochrome P450 - arranged by substrate type	0.205377159652647	-1.58290718702499	99	1	0.05	20	8672	100043108	Cyp2c69
R-MMU-5250941	Negative epigenetic regulation of rRNA expression	0.207230939754281	-1.57392145660598	100	1	0.05	20	8672	17191	Mbd2
R-MMU-1474228	Degradation of the extracellular matrix	0.220092832214121	-1.51370585702216	107	1	0.05	20	8672	11490	Adam15
R-MMU-449147	Signaling by Interleukins	0.225462174493328	-1.48960287471552	389	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-1257604	PIP3 activates AKT signaling	0.225544167323676	-1.48923927525516	110	1	0.05	20	8672	108083	Pip4k2b
R-MMU-504046	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription	0.229158259506913	-1.47334242457047	112	1	0.05	20	8672	17191	Mbd2
R-MMU-180292	GAB1 signalosome	0.230959291610383	-1.46551381078499	113	1	0.05	20	8672	108083	Pip4k2b
R-MMU-198203	PI3K/AKT activation	0.230959291610383	-1.46551381078499	113	1	0.05	20	8672	108083	Pip4k2b
R-MMU-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	0.236338433029702	-1.44249046294598	116	1	0.05	20	8672	108083	Pip4k2b
R-MMU-983231	Factors involved in megakaryocyte development and platelet production	0.238123523183808	-1.43496573497318	117	1	0.05	20	8672	15962	Ifna1
